,business_id,score,date,type,score_level,diffFromPrev,prevScore
7850,65485,90,20171215,routine,3,-2.0,92.0
7851,65487,93,20160923,routine,4,,
7852,65487,90,20171107,routine,3,-3.0,93.0
7853,65529,88,20150605,routine,3,,
7854,65529,90,20170227,routine,3,2.0,88.0
7855,65531,92,20160810,routine,4,,
7856,65549,98,20160224,routine,4,,
7857,65549,92,20160901,routine,4,-6.0,98.0
7858,65549,96,20170518,routine,4,4.0,92.0
7859,65554,96,20160308,routine,4,,
7860,65554,87,20160826,routine,3,-9.0,96.0
7861,65554,94,20170823,routine,4,7.0,87.0
7862,65561,68,20160419,routine,1,,
7863,65561,81,20161006,routine,2,13.0,68.0
7864,65561,86,20171130,routine,3,5.0,81.0
7865,65580,86,20160511,routine,3,,
7866,65580,83,20170918,routine,2,-3.0,86.0
7867,65582,90,20150318,routine,3,,
7868,65582,84,20160112,routine,2,-6.0,90.0
7869,65582,84,20160815,routine,2,0.0,84.0
7870,65602,93,20150310,routine,4,,
7871,65602,100,20170322,routine,4,7.0,93.0
7872,65622,100,20150923,routine,4,,
7873,65622,92,20161128,routine,4,-8.0,100.0
7874,65622,96,20180117,routine,4,4.0,92.0
7875,65624,92,20160525,routine,4,,
7876,65624,92,20180103,routine,4,0.0,92.0
7877,65635,78,20150824,routine,2,,
7878,65635,78,20160824,routine,2,0.0,78.0
7879,65635,71,20170912,routine,2,-7.0,78.0
7880,65635,71,20170913,routine,2,0.0,71.0
7881,65649,98,20150723,routine,4,,
7882,65649,90,20160601,routine,3,-8.0,98.0
7883,65649,90,20161206,routine,3,0.0,90.0
7884,65672,94,20151222,routine,4,,
7885,65672,98,20160422,routine,4,4.0,94.0
7886,65672,92,20161018,routine,4,-6.0,98.0
7887,65672,88,20170828,routine,3,-4.0,92.0
7888,65674,88,20150506,routine,3,,
7889,65674,75,20170119,routine,2,-13.0,88.0
7890,65674,75,20170127,routine,2,0.0,75.0
7891,65676,88,20150414,routine,3,,
7892,65676,98,20160623,routine,4,10.0,88.0
7893,65676,88,20170808,routine,3,-10.0,98.0
7894,65677,90,20160505,routine,3,,
7895,65677,87,20170419,routine,3,-3.0,90.0
7896,65677,92,20171204,routine,4,5.0,87.0
7897,65679,76,20160627,routine,2,,
7898,65679,79,20161214,routine,2,3.0,76.0
7899,65679,81,20171204,routine,2,2.0,79.0
7900,65688,100,20160505,routine,4,,
7901,65692,96,20160204,routine,4,,
7902,65695,84,20151030,routine,2,,
7903,65695,77,20170112,routine,2,-7.0,84.0
7904,65695,90,20171101,routine,3,13.0,77.0
7905,65704,100,20160622,routine,4,,
7906,65724,100,20151016,routine,4,,
7907,65724,96,20161108,routine,4,-4.0,100.0
7908,65724,100,20180111,routine,4,4.0,96.0
7909,65725,100,20151016,routine,4,,
7910,65725,92,20161108,routine,4,-8.0,100.0
7911,65725,100,20180111,routine,4,8.0,92.0
7912,65754,96,20150311,routine,4,,
7913,65754,88,20160906,routine,3,-8.0,96.0
7914,65770,92,20150508,routine,4,,
7915,65770,90,20151013,routine,3,-2.0,92.0
7916,65770,96,20170125,routine,4,6.0,90.0
7917,65776,92,20170126,routine,4,,
7918,65791,88,20160427,routine,3,,
7919,65791,86,20161110,routine,3,-2.0,88.0
7920,65791,87,20171204,routine,3,1.0,86.0
7921,65795,94,20160114,routine,4,,
7922,65795,87,20160615,routine,3,-7.0,94.0
7923,65795,92,20161130,routine,4,5.0,87.0
7924,65795,84,20170911,routine,2,-8.0,92.0
7925,65813,90,20150318,routine,3,,
7926,65813,88,20170201,routine,3,-2.0,90.0
7927,65819,92,20150508,routine,4,,
7928,65819,93,20150925,routine,4,1.0,92.0
7929,65819,100,20170214,routine,4,7.0,93.0
7930,65819,98,20171101,routine,4,-2.0,100.0
7931,65820,100,20150914,routine,4,,
7932,65820,91,20160407,routine,4,-9.0,100.0
7933,65820,96,20161021,routine,4,5.0,91.0
7934,65820,98,20170125,routine,4,2.0,96.0
7935,65820,98,20171031,routine,4,0.0,98.0
7936,65824,96,20160915,routine,4,,
7937,65824,91,20171024,routine,4,-5.0,96.0
7938,65826,98,20151023,routine,4,,
7939,65826,90,20161025,routine,3,-8.0,98.0
7940,65826,94,20170713,routine,4,4.0,90.0
7941,65829,94,20160630,routine,4,,
7942,65830,86,20150827,routine,3,,
7943,65830,90,20160722,routine,3,4.0,86.0
7944,65830,94,20171004,routine,4,4.0,90.0
7945,65831,81,20160608,routine,2,,
7946,65831,77,20170726,routine,2,-4.0,81.0
7947,65833,73,20150311,routine,2,,
7948,65833,96,20160513,routine,4,23.0,73.0
7949,65833,92,20171208,routine,4,-4.0,96.0
7950,65834,81,20150526,routine,2,,
7951,65834,78,20160809,routine,2,-3.0,81.0
7952,65834,78,20170517,routine,2,0.0,78.0
7953,65852,96,20150811,routine,4,,
7954,65852,90,20160226,routine,3,-6.0,96.0
7955,65852,88,20170721,routine,3,-2.0,90.0
7956,65856,100,20150813,routine,4,,
7957,65856,77,20160825,routine,2,-23.0,100.0
7958,65856,73,20170821,routine,2,-4.0,77.0
7959,65857,90,20150520,routine,3,,
7960,65857,78,20160607,routine,2,-12.0,90.0
7961,65857,92,20170705,routine,4,14.0,78.0
7962,65860,94,20150630,routine,4,,
7963,65860,84,20160804,routine,2,-10.0,94.0
7964,65860,87,20170921,routine,3,3.0,84.0
7965,65872,69,20151021,routine,1,,
7966,65872,81,20151216,routine,2,12.0,69.0
7967,65873,98,20150723,routine,4,,
7968,65873,83,20160815,routine,2,-15.0,98.0
7969,65873,91,20171208,routine,4,8.0,83.0
7970,65893,100,20150902,routine,4,,
7971,65893,98,20160323,routine,4,-2.0,100.0
7972,65893,100,20160907,routine,4,2.0,98.0
7973,65893,96,20170210,routine,4,-4.0,100.0
7974,65893,100,20171025,routine,4,4.0,96.0
7975,65895,92,20150325,routine,4,,
7976,65895,87,20160715,routine,3,-5.0,92.0
7977,65896,88,20160817,routine,3,,
7978,65896,90,20171004,routine,3,2.0,88.0
7979,65898,100,20151106,routine,4,,
7980,65898,100,20161206,routine,4,0.0,100.0
7981,65898,96,20171205,routine,4,-4.0,100.0
7982,65900,100,20150313,routine,4,,
7983,65900,96,20161229,routine,4,-4.0,100.0
7984,65901,89,20160531,routine,3,,
7985,65901,90,20171108,routine,3,1.0,89.0
7986,65902,88,20150407,routine,3,,
7987,65902,89,20170421,routine,3,1.0,88.0
7988,65912,90,20150306,routine,3,,
7989,65925,75,20160406,routine,2,,
7990,65925,82,20170919,routine,2,7.0,75.0
7991,66185,92,20160926,routine,4,,
7992,66185,94,20170626,routine,4,2.0,92.0
7993,66185,100,20180202,routine,4,6.0,94.0
7994,66191,98,20150527,routine,4,,
7995,66191,100,20160722,routine,4,2.0,98.0
7996,66191,98,20170808,routine,4,-2.0,100.0
7997,66198,100,20150601,routine,4,,
7998,66198,93,20160509,routine,4,-7.0,100.0
7999,66202,100,20151204,routine,4,,
8000,66202,94,20161027,routine,4,-6.0,100.0
8001,66220,90,20160825,routine,3,,
8002,66229,90,20150330,routine,3,,
8003,66229,71,20160607,routine,2,-19.0,90.0
8004,66229,64,20170515,routine,1,-7.0,71.0
8005,66229,88,20170920,routine,3,24.0,64.0
8006,66255,83,20160516,routine,2,,
8007,66255,86,20161206,routine,3,3.0,83.0
8008,66255,89,20180212,routine,3,3.0,86.0
8009,66276,82,20150224,routine,2,,
8010,66276,80,20151019,routine,2,-2.0,82.0
8011,66276,81,20160823,routine,2,1.0,80.0
8012,66279,96,20150826,routine,4,,
8013,66279,98,20170802,routine,4,2.0,96.0
8014,66280,84,20160415,routine,2,,
8015,66280,96,20180216,routine,4,12.0,84.0
8016,66297,92,20150824,routine,4,,
8017,66297,92,20160229,routine,4,0.0,92.0
8018,66297,88,20160829,routine,3,-4.0,92.0
8019,66297,86,20171003,routine,3,-2.0,88.0
8020,66300,94,20150305,routine,4,,
8021,66300,90,20160531,routine,3,-4.0,94.0
8022,66300,90,20161220,routine,3,0.0,90.0
8023,66300,85,20170901,routine,2,-5.0,90.0
8024,66328,96,20150319,routine,4,,
8025,66328,100,20160805,routine,4,4.0,96.0
8026,66328,96,20160930,routine,4,-4.0,100.0
8027,66331,96,20160616,routine,4,,
8028,66331,90,20170503,routine,3,-6.0,96.0
8029,66336,96,20150518,routine,4,,
8030,66336,89,20151202,routine,3,-7.0,96.0
8031,66336,92,20160725,routine,4,3.0,89.0
8032,66361,71,20160406,routine,2,,
8033,66361,68,20170320,routine,1,-3.0,71.0
8034,66361,81,20180207,routine,2,13.0,68.0
8035,66362,100,20150512,routine,4,,
8036,66362,100,20160122,routine,4,0.0,100.0
8037,66363,90,20160531,routine,3,,
8038,66363,94,20161129,routine,4,4.0,90.0
8039,66363,92,20171204,routine,4,-2.0,94.0
8040,66384,74,20160211,routine,2,,
8041,66384,86,20160728,routine,3,12.0,74.0
8042,66384,83,20170828,routine,2,-3.0,86.0
8043,66394,94,20150414,routine,4,,
8044,66400,96,20170224,routine,4,,
8045,66400,79,20180111,routine,2,-17.0,96.0
8046,66402,98,20151009,routine,4,,
8047,66402,98,20161017,routine,4,0.0,98.0
8048,66402,98,20170502,routine,4,0.0,98.0
8049,66402,96,20171016,routine,4,-2.0,98.0
8050,66406,79,20160510,routine,2,,
8051,66406,85,20160928,routine,2,6.0,79.0
8052,66406,73,20171017,routine,2,-12.0,85.0
8053,66411,100,20160607,routine,4,,
8054,66411,96,20170210,routine,4,-4.0,100.0
8055,66418,77,20160517,routine,2,,
8056,66418,79,20170327,routine,2,2.0,77.0
8057,66475,94,20160516,routine,4,,
8058,66475,90,20161107,routine,3,-4.0,94.0
8059,66475,90,20171122,routine,3,0.0,90.0
8060,66503,94,20150225,routine,4,,
8061,66503,96,20151016,routine,4,2.0,94.0
8062,66503,96,20160819,routine,4,0.0,96.0
8063,66503,90,20170912,routine,3,-6.0,96.0
8064,66515,78,20160727,routine,2,,
8065,66515,90,20171025,routine,3,12.0,78.0
8066,66517,85,20150727,routine,2,,
8067,66517,76,20170120,routine,2,-9.0,85.0
8068,66522,75,20150427,routine,2,,
8069,66522,78,20170809,routine,2,3.0,75.0
8070,66534,87,20160413,routine,3,,
8071,66534,88,20170303,routine,3,1.0,87.0
8072,66534,88,20171018,routine,3,0.0,88.0
8073,66536,90,20160413,routine,3,,
8074,66536,90,20170303,routine,3,0.0,90.0
8075,66536,83,20171018,routine,2,-7.0,90.0
8076,66583,96,20150324,routine,4,,
8077,66583,100,20151103,routine,4,4.0,96.0
8078,66583,94,20170118,routine,4,-6.0,100.0
8079,66584,96,20151009,routine,4,,
8080,66584,92,20160809,routine,4,-4.0,96.0
8081,66584,90,20170517,routine,3,-2.0,92.0
8082,66592,100,20160204,routine,4,,
8083,66592,100,20161028,routine,4,0.0,100.0
8084,66592,96,20171108,routine,4,-4.0,100.0
8085,66612,92,20160310,routine,4,,
8086,66612,87,20160922,routine,3,-5.0,92.0
8087,66612,92,20170413,routine,4,5.0,87.0
8088,66637,80,20160315,routine,2,,
8089,66637,86,20161130,routine,3,6.0,80.0
8090,66642,78,20150427,routine,2,,
8091,66656,70,20150408,routine,1,,
8092,66656,89,20160314,routine,3,19.0,70.0
8093,66656,87,20161027,routine,3,-2.0,89.0
8094,66656,98,20170313,routine,4,11.0,87.0
8095,66679,72,20160503,routine,2,,
8096,66679,70,20171108,routine,1,-2.0,72.0
8097,66684,100,20150407,routine,4,,
8098,66684,96,20150930,routine,4,-4.0,100.0
8099,66684,100,20171214,routine,4,4.0,96.0
8100,66685,85,20160222,routine,2,,
8101,66685,90,20161205,routine,3,5.0,85.0
8102,66685,90,20171113,routine,3,0.0,90.0
8103,66687,100,20150428,routine,4,,
8104,66687,100,20160415,routine,4,0.0,100.0
8105,66687,98,20170130,routine,4,-2.0,100.0
8106,66687,100,20171205,routine,4,2.0,98.0
8107,66694,96,20150513,routine,4,,
8108,66694,92,20170112,routine,4,-4.0,96.0
8109,66695,85,20160614,routine,2,,
8110,66695,73,20171017,routine,2,-12.0,85.0
8111,66698,100,20150312,routine,4,,
8112,66698,100,20160302,routine,4,0.0,100.0
8113,66704,88,20150520,routine,3,,
8114,66704,85,20161101,routine,2,-3.0,88.0
8115,66704,84,20171128,routine,2,-1.0,85.0
8116,66705,71,20160512,routine,2,,
