,business_id,name,address,city,state,postal_code,latitude,longitude,phone_number,zip_code,totalIns
2950,65873,CAPURRO'S,498 JEFFERSON ST ,San Francisco,CA,94109,37.807649,-122.420744,+14157719371,94109,3
2951,65893,DIANE FEINSTEIN ELEMENTARY SCHOOL,2550 25TH AVE ,San Francisco,CA,94116,37.739643,-122.481876,+14157493604,94116,5
2952,65895,SANGUCHON,1980 EVANS ST ,San Francisco,CA,94107,37.763625,-122.39971899999999,+14152546595,94107,2
2953,65896,OASIS GRILL,200 04TH ST ,San Francisco,CA,94103,37.783208,-122.40271899999999,+14155433131,94103,2
2954,65898,PEARL'S DELUXE BURGERS,708 POST ST ,San Francisco,CA,94109,37.787677,-122.413634,+14154096120,94109,3
2955,65900,OLIVIER'S BUTCHERY,1074 ILLINOIS ST ,San Francisco,CA,94107,37.758348,-122.387442,+14155589887,94107,2
2956,65901,SAN SUN RESTAURANT,848 WASHINGTON ST ,San Francisco,CA,94108,37.795108,-122.40721299999998,+14152718228,94108,2
2957,65902,ANNAKOOT," MUSIC CONCOURSE, GOLDEN GATE PARK  ",San Francisco,CA,94102,37.779847,-122.418985,+14157017684,94102,2
2958,65912,CLAUDINE,401 BUSH ST ,San Francisco,CA,94108,37.790703,-122.404257,+14153621988,94108,1
2959,65925,ZIGGY'S BURGER & GRILL,21 DRUMM ST ,San Francisco,CA,94111,37.793865000000004,-122.39649299999999,+14153918181,94111,2
2960,66185,"RITUAL COFFEE ROASTERS, INC.",432 OCTAVIA ST #1B,San Francisco,CA,94102,37.776084999999995,-122.42418899999998,+14156411024,94102,3
2961,66191,AFC SUSHI @ MOLLIE STONE'S #9,4201 18TH ST ,San Francisco,CA,94114,37.760773,-122.43638899999999,+14155674902,94114,3
2962,66198,ALFRED SCHILLING CATERING,1661 TENNESSEE ST SUITE 3B,San Francisco,CA,94107,37.75072,-122.388478,+14154017004,94107,2
2963,66202,CAKE COQUETTE,1501 CORTLAND AVE ,San Francisco,CA,94110,37.739764,-122.409475,+14152486840,94110,2
2964,66220,IZAKAYA KOU,1560 FILLMORE ST ,San Francisco,CA,94115,37.784007,-122.43281599999999,+14154419294,94115,1
2965,66229,AMPHAWA THAI NOODLE HOUSE,5020 GEARY BLVD ,San Francisco,CA,94122,37.780733000000005,-122.473114,+14153871299,94122,4
2966,66244,DOS CHEFS CATERING,1155 FOLSOM ST ,San Francisco,CA,94103,37.775767,-122.408997,+14158599826,94103,0
2967,66255,TEMPEST,431 NATOMA ST ,San Francisco,CA,94103,37.781249,-122.406222,+14153709736,94103,3
2968,66276,MARTITA'S RESTAURANT,1401 EGBERT AVE ,San Francisco,CA,94124,37.722776,-122.39286399999999,+14153412166,94124,3
2969,66279,CASTRO VILLAGE WINE CO.,4119 19TH ST ,San Francisco,CA,94114,37.759229,-122.435079,+14158644411,94114,2
2970,66280,THE POSH BAGEL,742 IRVING ST ,San Francisco,CA,94122,37.764088,-122.46587199999999,+14156658858,94122,2
2971,66297,MELODY LOUNGE,3401 MISSION ST ,San Francisco,CA,94110,37.742073,-122.422133,+14154255022,94110,4
2972,66300,THE FOG LIFTER CAFE,1901 OCEAN AVENUE,San Francisco,CA,94127,37.725304,-122.46241,+14153494543,94127,4
2973,66328,CHAIRMAN BAO, OFF THE GRID  ,San Francisco,CA,94132,37.721453000000004,-122.48629,+14158462028,94132,3
2974,66331,CAFE MAJESTIC,1500 SUTTER ST ,San Francisco,CA,94109,37.787118,-122.42541399999999,+14154411100,94109,2
2975,66336,NIZARIO'S PIZZA #2,4077 18TH ST ,San Francisco,CA,94114,37.760892999999996,-122.434459,+14154870777,94114,3
2976,66361,CAFE BUNN MI,417 CLEMENT ST ,San Francisco,CA,94118,37.782953000000006,-122.4637,,94118,3
2977,66362,COFFEE TO THE PEOPLE,1206 MASONIC AVE,San Francisco,CA,94117,37.769999,-122.44526699999999,+14156262435,94117,2
2978,66363,SUBWAY SANDWICH #41309,187 06TH ST  ,San Francisco,CA,94103,37.774722,-122.40676100000002,+14152595722,94103,3
2979,66384,SWEET HUT,519 CLEMENT ST ,San Francisco,CA,94118,37.782893,-122.46494799999999,+14153096212,94118,3
2981,66400,ARABIAN NIGHTS,2345 MISSION ST ,San Francisco,CA,94110,37.759484,-122.41910700000001,+14157938232,94110,2
2982,66402,LUCKY HORSESHOE BAR LLC,453 CORTLAND AVE ,San Francisco,CA,94110,37.739160999999996,-122.416967,+14152823456,94110,4
2983,66406,CHARLEY'S GRILLED SUBS,865 MARKET ST ,San Francisco,CA,94103,37.784317,-122.40756299999998,+14159234700,94103,3
2984,66411,DEL POPOLO LLC,269 CHATTANOOGA ST ,San Francisco,CA,94114,37.752274,-122.426336,+14152756600,94114,2
2985,66418,TURTLE TOWER RESTAURANT,5716 GEARY BLVD,San Francisco,CA,94121,37.780348,-122.480861,+14152219890,94121,2
2986,66475,SUR LA TABLE,845 MARKET ST SPACE#015,San Francisco,CA,94103,37.784848,-122.406892,+14157327900,94103,3
2990,66515,LA FUSION,475 PINE ST ,San Francisco,CA,94104,37.791743,-122.403677,+14157810894,94104,2
